# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 1.6555781142367227 1.5809606433331982 1
7 0.18012368011412971 1.6053841472517563 1.015448521139062
12 0.06465972649281708 1.6053827540870838 1.0154476399250494
17 0.03296375892779075 1.6053816239317331 1.0154469250714853
22 0.019934585224670211 1.6053800151584201 1.0154459074792257
27 0.013342441954842181 1.6053777860625469 1.0154444975163135
32 0.0095519612266125788 1.6053753887820166 1.0154429811720955
37 0.0071741484400272455 1.6053724685077164 1.0154411340202942
42 0.0055851779616785651 1.6053690772522025 1.0154389889602458
47 0.0044711027711376557 1.6053653296140562 1.0154366184786261
52 0.0036599353482639888 1.6053611865131088 1.0154339978561806
57 0.0030510443885932953 1.6053565596996859 1.0154310712726238
62 0.0025823659923811656 1.6053515968588532 1.0154279321427198
67 0.0022139348626925054 1.6053461327809853 1.0154244759669502
72 0.0019190735275702924 1.6053402800938845 1.0154207739854206
77 0.0016794224677148127 1.6053340539820673 1.0154168358027444
82 0.0014820113689453657 1.605327375195599 1.0154126112912132
87 0.0013174666348030311 1.605320241713462 1.015408099172479
92 0.0011788776907627045 1.6053127560379634 1.0154033642819993
97 0.0010610590862202517 1.6053048223938722 1.0153983460393727
102 0.00096005855834898376 1.6052964731899695 1.0153930649440224
107 0.00087282106460162361 1.6052877210244081 1.0153875289646175
112 0.00079695498967881069 1.6052785102247091 1.0153817028868226
117 0.00073056656949915095 1.605268914634765 1.0153756334188793
122 0.00067214042912200128 1.6052589230305934 1.0153693134613182
127 0.00062045236387602498 1.6052484741526949 1.0153627042658633
132 0.00057450474485117769 1.6052375996427057 1.0153558258466977
137 0.00053347797884827118 1.6052263581308917 1.0153487152890366
142 0.00049669364483251885 1.6052146576744046 1.0153413144365635
147 0.00046358637213407333 1.6052025555611433 1.0153336595254105
152 0.00043368190877287899 1.6051900393415859 1.015325742680921
157 0.0004065800618814246 1.6051770753133943 1.0153175425854624
162 0.00038194127029711364 1.6051637331054318 1.0153091032811579
167 0.0003594758585672628 1.6051499669186602 1.0153003957988878
172 0.00033893552587029046 1.6051357734542944 1.0152914180520818
177 0.00032010643953926372 1.6051211274319632 1.0152821540502277
182 0.00030280368076370678 1.6051061521282874 1.0152726817690936
187 0.0002868665947128336 1.6050906523798514 1.0152628777625856
192 0.00027215518947269946 1.6050748478763754 1.0152528809903429
197 0.00025854689081357998 1.6050585061610143 1.0152425444171778
202 0.00024593414204438613 1.6050418594448521 1.0152320149228273
207 0.00023422211781618608 1.6050246828102135 1.0152211502408308
212 0.00022332708629263899 1.6050072400549955 1.0152101172304322
217 0.00021317474510141517 1.6049891892006412 1.0151986995810236
222 0.00020369913786128091 1.6049708907100904 1.0151871252950804
227 0.0001948413935913592 1.6049520543650837 1.0151752108017715
232 0.00018654896353913512 1.6049328931216995 1.0151630908015268
237 0.00017877472774898388 1.6049132407230726 1.0151506601324207
242 0.00017147640485437081 1.6048932143293084 1.0151379929013618
247 0.00016461592134225597 1.6048727492119179 1.0151250481658449
252 0.00015815894397071452 1.6048518607711129 1.0151118356669171
257 0.00015207444574324747 1.6048306243538204 1.0150984030635299
262 0.00014633429884077444 1.6048088195649013 1.0150846109498484
267 0.00014091302948539432 1.6047867832793616 1.0150706724083465
272 0.00013578741839423403 1.6047641518324631 1.0150563574113263
277 0.00013093637894721183 1.6047412744118204 1.015041886829317
282 0.00012634061799772725 1.6047178090395344 1.0150270443521276
287 0.00012198255709440473 1.6046940757379982 1.0150120324025032
292 0.00011784606245517016 1.6046698014609997 1.0149966782713924
297 0.00011391637961071219 1.6046451920342069 1.01498111214905
302 0.00011017994298801617 1.6046201679808645 1.0149652837642966
307 0.00010662427833212296 1.6045946075236541 1.0149491160897135
312 0.00010323793026092095 1.6045688332700223 1.0149328131831608
317 0.00010001028894856829 1.6045423928893876 1.0149160889334166
322 9.693162136993795e-05 1.6045158179056103 1.0148992795435754
327 9.3992864340337236e-05 1.6044885141566088 1.0148820091901882
332 9.118570122981914e-05 1.6044610961329626 1.0148646665550241
337 8.8502359619504247e-05 1.604432987723613 1.0148468872323901
342 8.5935689007796736e-05 1.6044046835972898 1.0148289841135221
347 8.3479004951757881e-05 1.6043758426853525 1.0148107414633594
352 8.1126115893565722e-05 1.6043465477537895 1.014792211633609
357 7.8871266321653991e-05 1.6043170097159123 1.014773528032596
362 7.6709063418594988e-05 1.6042867900244449 1.0147544132674089
367 7.463452715121167e-05 1.6042564728142183 1.0147352368189917
372 7.264295143460497e-05 1.6042253851310693 1.0147155730257909
377 7.0730000886232353e-05 1.604194212571763 1.0146958555461447
382 6.8891565299742118e-05 1.6041623571450054 1.0146757061345246
387 6.7123841761120145e-05 1.6041302445697034 1.0146553940695551
392 6.5423243068564693e-05 1.6040977054510941 1.0146348122045057
397 6.3786405951705183e-05 1.6040645573971231 1.0146138451715117
402 6.2210203665504345e-05 1.6040313570757521 1.0145928450779857
407 6.0691646876325907e-05 1.6039972754232059 1.0145712875188586
412 5.9227993114960074e-05 1.6039632612702595 1.0145497726550385
417 5.7816594225139258e-05 1.6039283866881313 1.0145277135466886
422 5.645501852334263e-05 1.6038934145412691 1.0145055927260282
427 5.5140932606827522e-05 1.6038578820806599 1.0144831174918982
432 5.3872156127492745e-05 1.603821874403339 1.0144603416704554
437 5.2646640088916878e-05 1.6037857074412094 1.0144374650970995
442 5.1462417400778793e-05 1.6037486734734117 1.0144140401194104
447 5.0317684677184753e-05 1.6037117751724308 1.0143907009546207
452 4.9210672901835514e-05 1.6036739405368989 1.0143667695331198
457 4.8139768749340364e-05 1.60363604529314 1.0143427997752901
462 4.7103404933905491e-05 1.6035976090469304 1.0143184878189035
467 4.6100110784196306e-05 1.6035585964714301 1.0142938113187865
472 4.5128510319491979e-05 1.6035195855796094 1.014269135883642
477 4.4187254987436258e-05 1.6034795677843643 1.0142438235550815
482 4.3275126704749362e-05 1.6034397610577944 1.0142186447331178
487 4.2390904979390206e-05 1.6033989801749469 1.014192849731187
492 4.1533486260913022e-05 1.603358137788897 1.0141670158268312
497 4.0701788152883624e-05 1.6033168347042801 1.0141408905182785
502 3.9894785378716002e-05 1.603274801608543 1.014114303458117
507 3.9111531535986123e-05 1.6032329342207834 1.0140878212126949
512 3.8351073173975606e-05 1.6031899399932541 1.0140606262109024
517 3.7612565581559856e-05 1.6031471690999286 1.0140335724739824
522 3.6895148761084754e-05 1.6031035995642344 1.0140060135743489
527 3.619803535977161e-05 1.6030596002889337 1.0139781828528909
532 3.5520475459543771e-05 1.6030155799952939 1.0139503388367699
537 3.486172127429622e-05 1.6029704606934256 1.0139217996684746
542 3.4221114471832109e-05 1.6029257173489182 1.0138934983032912
547 3.3597963583988381e-05 1.6028798578603127 1.0138644909470367
552 3.2991662008256966e-05 1.6028339585154052 1.0138354583806026
