# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 298.75936112598015 285.29417470905827 1
7 0.12304036600684456 1.0966190171902179 0.0038438184667056213
12 1.0561725877158063e-05 0.00026222833742528122 9.1915068960906929e-07
17 2.0441427668079643e-10 9.9552640271247514e-09 3.4894732909555846e-11
22 1.1977776465451864e-15 9.6459909985357597e-14 3.3810683335447344e-16
27 2.6365345283534065e-21 3.1723083213184711e-19 1.1119429005354129e-21
32 2.542779005552064e-27 4.2735881540764365e-25 1.4979584348101823e-27
37 1.2046839042298364e-33 2.6957434589931922e-31 9.4489958014119964e-34
42 3.0552032954655645e-40 8.7816877616293148e-38 3.0781167440887429e-40
47 4.4423376524636291e-47 1.5950371115915111e-44 5.5908506131193273e-47
52 3.9145644729076624e-54 1.7170494199822206e-51 6.0185225363723592e-54
57 2.1828777953448328e-61 1.1485566060201753e-58 4.0258677107286477e-61
62 8.0165796250328411e-69 4.9835805382977063e-66 1.7468216949679884e-68
67 2.0005316792952835e-76 1.4506053673850054e-73 5.0845951161264554e-76
72 3.4810473040869628e-84 2.9119600546198136e-81 1.0206868253056401e-83
77 4.3375804650955974e-92 4.1462263167053133e-89 1.4533161502276084e-91
82 3.9489430222755509e-100 4.2775288162990376e-97 1.4993396975810117e-99
87 2.6656399831104705e-108 3.2480563142669154e-105 1.1384937381140952e-107
92 1.3593028216564081e-116 1.8510030141563377e-113 6.4880505045151452e-116
97 5.3320508339570164e-125 8.0670030803767079e-122 2.8276087615891219e-124
102 1.6252678807550432e-133 2.7175808957442935e-130 9.5255393788382475e-133
107 3.8843193152618362e-142 7.1440188077653352e-139 2.5040885657938066e-141
112 7.3851096152414978e-151 1.4875567522049042e-147 5.2141154081463741e-150
117 1.1313780701558494e-159 2.4859692771950281e-156 8.7137050019693127e-159
122 1.4037751638846928e-168 3.3526068513661966e-165 1.1751403107985538e-167
127 1.4179172917566247e-177 3.6684678818015455e-174 1.2858544642710046e-176
132 1.1801329344461562e-186 3.2974379688376333e-183 1.1558027682129668e-185
137 8.1914211083943897e-196 2.4647849761544195e-192 8.6394507657508117e-195
142 4.7527364018820118e-205 1.5359894807867348e-201 5.3838795774681693e-204
147 2.2992707918969645e-214 7.9613974286817261e-211 2.790592354996636e-213
152 9.3233960179439001e-224 3.4508754269199221e-220 1.2095849592579691e-222
157 3.2154693837132549e-233 1.2694665147190321e-229 4.4496755533604159e-232
162 9.5453591005508196e-243 4.0115759775719234e-239 1.4061191335795449e-241
167 2.4402149780192835e-252 1.0896172574295877e-248 3.8192762209069792e-251
172 5.3528759832361578e-262 2.5350227626610178e-258 8.885645019728226e-261
177 1.0124804777384539e-271 5.0769169413446335e-268 1.7795375410388421e-270
182 1.6734693029540846e-281 8.8707504043371796e-278 3.1093345713712983e-280
187 2.4385727524460232e-291 1.3644427069026764e-287 4.7825817274191776e-290
192 3.1218384483342306e-301 1.8411496698861696e-297 6.4535130160430566e-300
197 3.4886271058771655e-311 2.1657389085175256e-307 7.5912482640984179e-310
202 0 0 0
207 0 0 0
212 0 0 0
217 0 0 0
222 0 0 0
227 0 0 0
232 0 0 0
237 0 0 0
242 0 0 0
247 0 0 0
252 0 0 0
257 0 0 0
262 0 0 0
267 0 0 0
272 0 0 0
277 0 0 0
282 0 0 0
287 0 0 0
292 0 0 0
297 0 0 0
302 0 0 0
307 0 0 0
