# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 336.21640659059813 321.06301834492916 1
3 78.080614357128141 149.12298881506749 0.46446641405102435
4 17.951371213585421 57.140989278393519 0.1779743726728594
5 3.9706602288106421 18.958506082608295 0.059049174147613959
6 0.82841245604226543 5.537529366517008 0.017247484294712036
7 0.16164337356962732 1.4406751476127369 0.004487203649424891
8 0.029420018044130577 0.33712857342548175 0.0010500386346685773
9 0.0049961774405379144 0.071564970260324087 0.00022290007310477394
10 0.00079310693940630374 0.013884957878769732 4.324683032741142e-05
11 0.00011797470790678104 0.0024784660458606459 7.7195625289921866e-06
12 1.6487328943626288e-05 0.00040935022436259133 1.274984040431627e-06
13 2.1704980819224578e-06 6.2871080765117496e-05 1.9582162121696904e-07
14 2.698630819599451e-07 9.0195091249070955e-06 2.8092644152548034e-08
15 3.1768817788580801e-08 1.2134794529372088e-06 3.7795678218957174e-09
16 3.5496185621093538e-09 1.5366350054812228e-07 4.7860853405120683e-10
17 3.7728212306951355e-10 1.8374172336975671e-08 5.7229177099542684e-11
18 -1.9341799207308551e-07 -1.0527932896298481e-05 -3.279086127879094e-08
19 3.6990674998355483e-12 2.2371545342317439e-10 6.9679608251495694e-13
20 5.185496063176909e-08 3.4662487895203067e-06 1.0796163343223776e-08
21 3.0390832356902527e-14 2.2346252517565069e-12 6.9600829870594795e-15
22 -1.3943967969402474e-08 -1.1229412228946039e-06 -3.4975726219834799e-09
23 2.1199688035928398e-16 1.8624673988941137e-14 5.8009402904609841e-17
24 3.9214616125711501e-09 3.7447199987148815e-07 1.1663504622920472e-09
25 1.2703713538006228e-18 1.3142082233781291e-16 4.0933030224185756e-19
26 -1.9029924139601616e-09 -2.1261519584239292e-07 -6.6222262825042351e-10
27 -1.2889467606034442e-09 -1.5508753973923695e-07 -4.8304392246328742e-10
28 4.5292796148693948e-22 5.8533607835367802e-20 1.8231189670210821e-22
29 5.1078952458944101e-10 7.0726369614632818e-08 2.2028812280911477e-10
30 3.4667794221335242e-10 5.1313222592688781e-08 1.5982289974475105e-10
31 1.2074477008294124e-25 1.9063389995104944e-23 5.9375851175187303e-26
32 -1.4016568401963578e-10 -2.3557312905542291e-08 -7.3372863143751589e-11
33 -9.7765008201907449e-11 -1.745807800339716e-08 -5.4375860830665155e-11
34 2.4673386614348195e-29 4.6730008165641941e-27 1.4554777565642353e-29
35 5.0916956764374712e-11 1.0210643548870656e-08 3.1802614955488293e-11
36 5.2732052795397183e-11 1.1178899059877986e-08 3.4818395209466656e-11
37 2.8181122428721066e-11 6.3061419005908246e-09 1.9641445885293204e-11
38 2.0356495061220825e-34 4.8014381568942309e-32 1.4954815355706521e-34
39 -1.3851890723514535e-11 -3.4391711325131295e-09 -1.0711825828592656e-11
40 -1.4520768248179776e-11 -3.7901253524710315e-09 -1.1804926559306087e-11
