# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 298.75936112598015 285.29417470905827 1
3 67.494642350062691 128.90527154678469 0.45183282020476478
4 15.069233502087037 47.966860009262902 0.16813122826002069
5 3.2303024183615547 15.423557926918354 0.054061944807135408
6 0.65220744057362134 4.359685599721427 0.015281369148765184
7 0.12304036600684456 1.0966190171902179 0.0038438184667056213
8 0.021639115463986384 0.24796599769653879 0.00086915899334226996
9 0.0035499442330265431 0.050849205514806733 0.00017823429295975822
10 0.00054434184822174214 0.009529816546389536 3.3403473996999764e-05
11 7.8219509717329587e-05 0.0016432708535413559 5.7599173036643884e-06
12 1.0561725877158063e-05 0.00026222833742528122 9.1915068960906929e-07
13 1.3437127904290901e-06 3.8922252950052063e-05 1.3642848820781147e-07
14 1.6150353543744217e-07 5.3978580582540622e-06 1.8920323430223466e-08
15 1.8385648290471953e-08 7.0228003377064003e-07 2.4615996260239877e-09
16 1.9872810817997776e-09 8.6029685234952704e-08 3.015472899952668e-10
17 2.0441427668079643e-10 9.9552640271247514e-09 3.4894732909555846e-11
18 -1.7702926710587222e-07 -9.635878362687582e-06 -3.3775236990079473e-08
19 1.8792675906281985e-12 1.136559960475322e-10 3.9838176213530496e-13
20 4.7455302468148308e-08 3.1721533047652662e-06 1.1118885648472192e-08
21 1.4500773045102363e-14 1.0662358054571715e-12 3.7373206324472418e-15
22 -1.2760946386195767e-08 -1.0276696541222198e-06 -3.6021403352179647e-09
23 9.5156480548773105e-17 8.3598325841038961e-15 2.9302500104074034e-17
24 3.5887599484481503e-09 3.4270133121944313e-07 1.2012209207178115e-09
25 5.3727820275243559e-19 5.5581813159326803e-17 1.9482281128245569e-19
26 -1.7415401853996189e-09 -1.945766598278667e-07 -6.8202114545905145e-10
27 -1.1795909241517661e-09 -1.4192972116224847e-07 -4.9748552106606376e-10
28 1.7570877697052678e-22 2.2707515364386465e-20 7.9593336904069236e-23
29 4.6745350992095575e-10 6.4725856989531511e-08 2.2687409252410655e-10
30 3.172653570569639e-10 4.695974535811078e-08 1.6460113637441114e-10
31 4.310857415141126e-26 6.8060551245138855e-24 2.3856270922652624e-26
32 -1.2827385412440538e-10 -2.15586813587353e-08 -7.5566496864931595e-11
33 -8.9470504055799765e-11 -1.5976913085135292e-08 -5.6001539819130462e-11
34 8.1324950326318193e-30 1.5402488730952303e-27 5.3988094031922282e-30
35 4.6597099212508294e-11 9.3443599285018412e-09 3.2753420002462988e-11
36 4.8258200252564192e-11 1.0230467445065638e-08 3.585936325373143e-11
37 2.5790201166337997e-11 5.7711210265336211e-09 2.0228667593437492e-11
38 6.0590596738737867e-35 1.4291360190221266e-32 5.0093417451637527e-35
39 -1.2676679191794127e-11 -3.147387602368165e-09 -1.1032078049185043e-11
40 -1.3288808320447202e-11 -3.4685664324798033e-09 -1.2157859290386954e-11
41 -7.2565332888766784e-12 -1.9887604316185237e-09 -6.9709114588359634e-12
42 3.0552032954655645e-40 8.7816877616293148e-38 3.0781167440887429e-40
43 4.1411141736504644e-12 1.2469770718991688e-09 4.3708465942945744e-12
44 5.149005981082668e-12 1.6225897127201005e-09 5.6874267214702518e-12
45 4.0863407016896389e-12 1.3462479361912259e-09 4.7188062552070107e-12
46 2.0157836148644067e-12 6.9361700511314924e-10 2.4312343770092633e-12
47 4.4423376524636291e-47 1.5950371115915111e-44 5.5908506131193273e-47
48 -1.1218326137813201e-12 -4.1993832405335583e-10 -1.4719484703170229e-12
49 -1.4044876984403828e-12 -5.4765134131043818e-10 -1.9196022557030142e-12
50 -1.1262264762087844e-12 -4.5707350236046703e-10 -1.6021129868024418e-12
51 -5.6531016931812418e-13 -2.3860549955745799e-10 -8.3634900642744215e-13
52 3.9145644729076624e-54 1.7170494199822206e-51 6.0185225363723592e-54
53 3.4745436654215654e-13 1.5826596677124384e-10 5.5474657669629175e-13
54 4.7884949321758087e-13 2.2634745361260223e-10 7.9338266841035342e-13
55 4.5199349996367537e-13 2.2156595927504607e-10 7.7662279470303957e-13
56 3.2469450671784185e-13 1.6495214047866184e-10 5.78182644797705e-13
57 1.5476063341748273e-13 8.1429820873429518e-11 2.8542405731372284e-13
58 7.3455593458711474e-63 4.0005988766316381e-60 1.4022714907205629e-62
59 -9.3942833567250568e-14 -5.2928190809216544e-11 -1.8552145645172207e-13
60 -1.3007754719709901e-13 -7.5771093715376701e-11 -2.6558934753100977e-13
61 -1.2357738077242173e-13 -7.4384190698187956e-11 -2.6072803895854032e-13
62 -8.9615574176095188e-14 -5.5710346841410291e-11 -1.9527334162438983e-13
63 -4.3365367290995803e-14 -2.7828108255457748e-11 -9.7541803241642513e-14
64 7.6272340405909717e-72 5.0498739186639041e-69 1.7700585452940786e-71
65 2.8373672909524686e-14 1.9372826175088619e-11 6.7904737959844227e-14
66 4.1914337032246258e-14 2.9498604496799606e-11 1.0339714972057228e-13
67 4.3847063058341675e-14 3.1793940418331661e-11 1.1144265546520527e-13
68 3.7396921677987826e-14 2.7926337985387654e-11 9.7886113566345369e-14
