# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 823.03179682210214 785.93747271625227 1
12 7.1256368833706327 176.91653189595272 0.22510255336791285
22 1.8190612536857844 146.4933706973826 0.18639316202991538
32 1.2080611953412101 203.03596980063656 0.25833603416176448
42 0.77769035882374105 223.53451623188496 0.28441768460197575
52 0.78167225751347125 342.86570208990861 0.43625061024885597
62 0.65182116809433632 405.21063093065754 0.51557616858529809
72 0.63078106779463061 527.65995752826177 0.67137651002265331
82 0.53522412097139027 579.75934008644469 0.73766598516133586
92 0.66221488960221775 901.757678380475 1.147365674350582
102 0.6943992225593999 1161.0923242822223 1.4773342213464005
112 0.17054975621423304 343.53239783982065 0.43709889115294354
120 0.35887221675436681 829.32849064934794 1.0552092493861291
