# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 810.66800498859448 774.13092120228055 1
22 1.8638066403461973 150.0968241279694 0.19389074898966488
42 0.79815294688588723 229.41615623349503 0.29635317483145535
62 0.61563463899536064 382.71494192096225 0.49438012542707721
82 0.4914290082442232 532.3200998525931 0.68763575420274137
102 0.41012974132920393 685.77048929005298 0.88585854215072879
122 0.32148398261189348 767.79346895302194 0.99181346194075803
142 0.27519596466366036 889.37839412040228 1.1488733620653393
162 0.23842583556127725 1002.019247568109 1.2943795682672146
182 0.15156479343815091 803.4168599934261 1.0378307311968142
202 0.11149191158743567 727.63050953316633 0.93993210916198044
222 0.089643132614213292 706.30941254083871 0.91239013091466481
242 0.081015654168251683 758.2470237785775 0.97948163936013022
262 0.077984979550701647 855.24025445825646 1.104774697708764
282 0.041954402494172392 532.88465670812388 0.6883650324683015
302 0.040901149921511296 595.66930493696452 0.76946843049732172
322 0.018485418659715692 305.99041077548765 0.39526958863787892
342 0.0037109193967431913 69.282233369265583 0.089496791139236948
362 3.5805611304579318e-08 0.0007488354917231585 9.6732409365610101e-07
382 7.4486030929308092e-16 1.7344312969236879e-11 2.2404883326840796e-14
402 1.7470188151682603e-25 4.5045230457669787e-21 5.8188129712880268e-24
422 1.0405958198432696e-36 2.9563444071065257e-32 3.8189204514852763e-35
442 2.6154807098126301e-49 8.1507514234918659e-45 1.0528905641481376e-47
462 3.9630547822526868e-63 1.3491901874736696e-58 1.7428449768913521e-61
482 4.7357156361461473e-78 1.7546880451366705e-73 2.2666554158714072e-76
502 5.5161985710343477e-94 2.2168266066990088e-89 2.8636326827716933e-92
522 7.4441811607352456e-111 3.2345156518707764e-106 4.1782540437053503e-109
542 1.3446845334896667e-128 6.2985366015068967e-124 8.1362679477068567e-127
562 3.6768744116323087e-147 1.8515849337716824e-142 2.3918240223450047e-145
582 1.6928796820380973e-166 9.1419273077505151e-162 1.1809278065721042e-164
602 1.4407191099057136e-186 8.3236392950695022e-182 1.0752237208329435e-184
622 2.4616206300968635e-207 1.5181674855209726e-202 1.961124977624134e-205
642 9.0910503274679181e-229 5.9728305596724576e-224 7.7155302754167551e-227
662 7.7558010961554433e-251 5.4177419087409163e-246 6.9984827635185748e-249
682 1.623394235131945e-273 1.2035086315627225e-268 1.5546577440590898e-271
702 8.8076168090608005e-297 6.9178474427701998e-292 8.9362758330674745e-295
722 0 0 0
742 0 0 0
762 0 0 0
782 0 0 0
802 0 0 0
822 0 0 0
842 0 0 0
862 0 0 0
882 0 0 0
902 0 0 0
922 0 0 0
942 0 0 0
962 0 0 0
982 0 0 0
1002 0 0 0
1022 0 0 0
1042 0 0 0
1062 0 0 0
1082 0 0 0
1102 0 0 0
1122 0 0 0
1142 0 0 0
1162 0 0 0
1182 0 0 0
1202 0 0 0
1222 0 0 0
1242 0 0 0
1262 0 0 0
1282 0 0 0
1302 0 0 0
1322 0 0 0
1342 0 0 0
1362 0 0 0
1382 0 0 0
1402 0 0 0
1422 0 0 0
1442 0 0 0
1462 0 0 0
1482 0 0 0
1502 0 0 0
1522 0 0 0
1542 0 0 0
1562 0 0 0
1582 0 0 0
1602 0 0 0
1622 0 0 0
1642 0 0 0
1662 0 0 0
1682 0 0 0
1702 0 0 0
1722 0 0 0
1742 0 0 0
1762 0 0 0
1782 0 0 0
1802 0 0 0
1822 0 0 0
1842 0 0 0
1862 0 0 0
1882 0 0 0
1902 0 0 0
1922 0 0 0
1942 0 0 0
1962 0 0 0
1982 0 0 0
2002 0 0 0
2022 0 0 0
2042 0 0 0
2062 0 0 0
2082 0 0 0
2102 0 0 0
2122 0 0 0
2142 0 0 0
2162 0 0 0
2182 0 0 0
2202 0 0 0
2222 0 0 0
2242 0 0 0
2262 0 0 0
2282 0 0 0
2302 0 0 0
2322 0 0 0
2342 0 0 0
2362 0 0 0
2382 0 0 0
2402 0 0 0
2422 0 0 0
2442 0 0 0
2462 0 0 0
2482 0 0 0
2500 0 0 0
