# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 810.66800498859448 774.13092120228055 1
12 6.9054880007837687 171.45063776669505 0.22147498965733084
22 1.8638066403461966 150.09682412796934 0.1938907489896648
32 1.0525304107262861 176.89628100844263 0.22850951455822241
42 0.79815294688588723 229.41615623349503 0.29635317483145535
52 0.66872033523552021 293.32148485309938 0.37890423547163088
62 0.61563463899536097 382.71494192096247 0.49438012542707749
72 0.53152705684288637 444.63215298997085 0.57436299314775519
82 0.49142900824422336 532.32009985259333 0.68763575420274159
92 0.46843266741986206 637.87867244097276 0.82399327422589153
102 0.41012974132920416 685.77048929005332 0.88585854215072934
112 0.37902358833266236 763.45393290516063 0.98620777441555008
122 0.32148398261189309 767.79346895302103 0.99181346194075681
132 0.31515220323968535 880.57439174263357 1.1375006056792547
142 0.2751959646636602 889.37839412040182 1.1488733620653389
152 0.24823966656367921 918.81130403845304 1.1868939463256081
162 0.238425835561277 1002.019247568108 1.2943795682672132
172 0.19634044603019574 929.83192862363876 1.201130071357366
182 0.15156479343815094 803.41685999342621 1.0378307311968145
192 0.12871388662731009 759.10888342120279 0.98059496479258645
202 0.11149191158743561 727.63050953316611 0.93993210916198011
212 0.098312405189632149 706.55165361274339 0.91270305094572157
222 0.089643132614213319 706.30941254083905 0.91239013091466514
232 0.089476340821105255 769.78997800667958 0.99439249476192071
242 0.081015654168251766 758.2470237785783 0.97948163936013133
252 0.07360225665858626 746.84817431100828 0.96475693433237342
262 0.077984979550701716 855.24025445825714 1.1047746977087649
272 0.058110228093594257 686.75884704328087 0.88713527419457094
282 0.041954402494172455 532.88465670812468 0.6883650324683025
292 0.036988186403748124 503.6555697860822 0.65060774087652928
302 0.040901149921511205 595.66930493696327 0.76946843049731994
312 0.02925452639665024 454.68657856180278 0.58735101015683766
322 0.018485418659715758 305.99041077548873 0.39526958863788031
332 0.027646514204161653 486.45517757732671 0.62838877023776174
342 0.0037109193967431809 69.282233369265398 0.089496791139236698
352 2.9654298264076565e-05 0.58644211573557858 0.00075754901357614308
362 3.5805611304579331e-08 0.00074883549172315871 9.6732409365610122e-07
372 9.7152711903758606e-12 2.1454916628854137e-07 2.7714842594755321e-10
382 7.4486030929307964e-16 1.7344312969236849e-11 2.2404883326840755e-14
392 1.8803879717092405e-20 4.6104807546997751e-16 5.9556860841307948e-19
402 1.7470188151682636e-25 4.5045230457669862e-21 5.8188129712880363e-24
412 6.5072278257025748e-31 1.7622333319455607e-26 2.2764021997838386e-29
422 1.0405958198432695e-36 2.9563444071065252e-32 3.8189204514852753e-35
432 7.5588207561989338e-43 2.2503279885059341e-38 2.9069088016934066e-41
442 2.615480709812627e-49 8.1507514234918559e-45 1.0528905641481364e-47
452 4.4903059176310129e-56 1.4632977280168205e-51 1.8902458071875167e-54
462 3.9630547822526852e-63 1.3491901874736689e-58 1.7428449768913514e-61
472 1.8551458565819143e-70 6.591759165272284e-66 8.5150443997700185e-69
482 4.7357156361461482e-78 1.7546880451366712e-73 2.2666554158714078e-76
492 6.7589318098866607e-86 2.6092171150921792e-81 3.3705114259483127e-84
502 5.5161985710343636e-94 2.216826606699015e-89 2.8636326827717011e-92
512 2.6276765595241435e-102 1.0984476514320427e-97 1.4189429996234684e-100
522 7.4441811607352677e-111 3.2345156518707861e-106 4.1782540437053631e-109
532 1.2760323772311023e-119 5.7586497782374044e-115 7.438857718399636e-118
542 1.3446845334896687e-128 6.2985366015069068e-124 8.1362679477068698e-127
552 8.8410557944619135e-138 4.2952502523050753e-133 5.548480411600463e-136
562 3.6768744116323159e-147 1.851584933771686e-142 2.3918240223450093e-145
572 9.7974773573864305e-157 5.1107548667683514e-152 6.6019257554406747e-155
582 1.6928796820380989e-166 9.141927307750523e-162 1.1809278065721051e-164
592 1.9182769124176893e-176 1.0717853872560575e-171 1.3845014556342723e-174
602 1.4407191099057163e-186 8.3236392950695182e-182 1.0752237208329456e-184
612 7.2440061234054329e-197 4.32524623796618e-192 5.5872283608679068e-195
622 2.4616206300968649e-207 1.5181674855209733e-202 1.9611249776241351e-205
632 5.7042804218436294e-218 3.6319661077534566e-213 4.6916690811326263e-216
642 9.0910503274679019e-229 5.972830559672448e-224 7.7155302754167429e-227
652 1.0045561616333633e-239 6.8069902802908026e-235 8.7930737474212517e-238
662 7.7558010961554278e-251 5.4177419087409051e-246 6.9984827635185609e-249
672 4.2146477151382737e-262 3.0336519199577615e-257 3.9187840672302357e-260
682 1.6233942351319427e-273 1.2035086315627207e-268 1.5546577440590877e-271
692 4.4619744745443367e-285 3.4055443640497822e-280 4.3991840020557886e-283
702 8.807616809060791e-297 6.9178474427701918e-292 8.9362758330674641e-295
712 1.2562900266609969e-308 1.0150316099158563e-303 1.3111885627038899e-306
722 0 0 0
732 0 0 0
742 0 0 0
752 0 0 0
762 0 0 0
772 0 0 0
782 0 0 0
792 0 0 0
800 0 0 0
